epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2507.87,0.42023,0.37848,1.05175,0.98426,1,0.995,0.78156,0.93626,0.52447,2.23926,0.000184055,0.000184055,0.000184055
90,2532.27,0.39281,0.36118,1.04145,0.98511,1,0.995,0.7691,0.945,0.52871,2.24648,0.000169908,0.000169908,0.000169908
91,2557.77,0.34098,0.47427,1.07141,0.98783,1,0.995,0.76274,0.97744,0.54946,2.29084,0.000155761,0.000155761,0.000155761
92,2581.96,0.31019,0.4236,1.028,0.98728,1,0.995,0.77147,0.98586,0.5712,2.30845,0.000141614,0.000141614,0.000141614
93,2606.55,0.32089,0.4527,1.08405,0.98813,1,0.995,0.77678,0.95894,0.57758,2.25646,0.000127467,0.000127467,0.000127467
94,2631.09,0.29005,0.42245,1.01716,0.98861,1,0.995,0.78532,0.93169,0.55475,2.18248,0.00011332,0.00011332,0.00011332
95,2655.35,0.31452,0.39127,1.03747,0.98867,1,0.995,0.78146,0.91424,0.53397,2.12602,9.91726e-05,9.91726e-05,9.91726e-05
96,2682.08,0.28364,0.35773,1.02319,0.98829,1,0.995,0.7888,0.90214,0.52304,2.0788,8.50255e-05,8.50255e-05,8.50255e-05
97,2711.13,0.27248,0.34996,0.99916,0.98785,1,0.995,0.7888,0.89907,0.51599,2.06989,7.08784e-05,7.08784e-05,7.08784e-05
98,2739.66,0.29231,0.35709,1.00696,0.98784,1,0.995,0.79562,0.9006,0.51839,2.07403,5.67313e-05,5.67313e-05,5.67313e-05
99,2767.22,0.27759,0.34442,1.02331,0.98742,1,0.995,0.78743,0.90072,0.51988,2.07315,4.25842e-05,4.25842e-05,4.25842e-05
100,2795.35,0.27686,0.35902,1.02299,0.98739,1,0.995,0.78743,0.9047,0.51672,2.08425,2.84371e-05,2.84371e-05,2.84371e-05
